book,first_published,approximate_sales,text_file,avg_sales_per_year,polarity,subjectivity_score,tfidf_similarity,nmf_similarity
Heidis_Years_of_Learning_and_Travel,1880,50000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Heidis_Years_Of_Learning_And_Travel.txt,364963.50365,0.120871501834,0.496307298985,0.0394487201666,0.0749604533149
Anne_of_Green_Gables,1908,50000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Anne_Of_Green_Gables.txt,458715.59633,0.102234574916,0.513094865377,0.040293352289,0.0227072955791
Black_Beauty,1877,50000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Black_Beauty.txt,357142.857143,0.106806273938,0.514911170459,0.176970547113,0.0473564473918
The_Name_of_the_Rose,1980,50000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Name_Of_The_Rose.txt,1351351.35135,0.0896335947666,0.525661930536,0.122682617635,0.107633974196
Watership_Down,1972,50000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Watership_Down.txt,1111111.11111,0.0512913922383,0.468000271382,0.0675499506371,0.0386198681522
The_Bridges_of_Madison_County,1992,50000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Bridges_Of_Madison_County.txt,2000000.0,0.0916708613358,0.465834847877,0.0595462713285,0.0228971902133
Ben_Hur_A_Tale_of_the_Christ,1880,50000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Ben_Hur_A_Tale_Of_The_Christ.txt,364963.50365,0.135779724264,0.480017049051,0.240245024116,0.574062411176
The_Mark_of_Zorro,1924,50000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Mark_Of_Zorro.txt,537634.408602,0.0937981354646,0.499642104095,0.040187669977,0.013684764609
The_Tale_of_Peter_Rabbit,1902,45000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Tale_Of_Peter_Rabbit.txt,391304.347826,0.0865241657555,0.402994100408,0.0262023277349,0.0107267693763
The_Odyssey,1539,45000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Odyssey.txt,94142.2594142,0.124225698338,0.537725832304,0.299334587189,0.22219507813
Jonathan_Livingston_Seagull,1970,44000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Jonathan_Livingston_Seagull.txt,936170.212766,0.154670429187,0.506186635666,0.0506358206971,0.030474885161
A_Message_to_Garcia,1899,40000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/A_Message_To_Garcia.txt,338983.050847,0.101720126327,0.429973546861,0.0415694632733,0.00647737217517
Sophies_World,1991,40000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Sophies_World.txt,1538461.53846,0.0918637054966,0.471861229044,0.0723026281831,0.19122499108
To_Kill_a_Mockingbird,1960,40000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/To_Kill_A_Mockingbird.txt,701754.385965,0.0546791935196,0.461479697262,0.0514513479301,0.0308507523358
Angels_And_Demons,2000,39000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Angels_And_Demons.txt,2294117.64706,0.0485956376166,0.477142382297,0.0336818344822,0.0799629597283
How_the_Steel_Was_Tempered,1932,36400000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/How_The_Steel_Was_Tempered.txt,428235.294118,0.0390573034119,0.443048864377,0.0428827835159,0.0332927701773
War_and_Peace,1869,36000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/War_And_Peace.txt,243243.243243,0.0825932773994,0.473367758197,0.147949150293,0.0274569074226
The_Adventures_of_Pinocchio,1881,35000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Adventures_Of_Pinocchio.txt,257352.941176,0.0649311946253,0.516136625036,0.0403099011676,0.0336990870131
In_His_Steps_What_Would_Jesus_Do?,1896,30000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/In_His_Steps_What_Would_Jesus_Do.txt,247933.884298,0.139766627989,0.485459060796,0.145596668039,0.396532008205
The_Lost_Symbol,2009,30000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Lost_Symbol.txt,3750000.0,0.0652519586697,0.497485894389,0.0453171964195,0.244458279694
Gone_with_the_Wind,1936,30000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Gone_with_the_Wind.txt,370370.37037,0.0430179932679,0.515663486885,0.0595183890594,0.0250630185535
The_Diary_of_a_Young_Girl_The_Diary_of_Anne_Frank,1947,30000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Diary_Of_A_Young_Girl_The_Diary_Of_Anne_Frank.txt,428571.428571,0.0799697974965,0.500064730147,0.0616820046142,0.0676582370839
The_Thorn_Birds,1977,30000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Thorn_Birds.txt,750000.0,0.0879537564288,0.494561520734,0.0625128289755,0.0562522452232
The_Revolt_of_Mamie_Stover,1951,30000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Revolt_Of_Mamie_Stover.txt,454545.454545,0.0488274312974,0.474211951019,0.0464053293817,0.0431480002828
The_Girl_with_the_Dragon_Tattoo,2005,30000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Girl_with_the_Dragon_Tattoo.txt,2500000.0,0.0516911439319,0.445376740461,0.0399206531692,0.0263686586443
The_Great_Gatsby,1925,25000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Great_Gatsby.txt,271739.130435,0.0544918703814,0.473832694501,0.0540288342344,0.0234078238629
The_Wind_in_the_Willows,1908,25000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Wind_In_The_Willows.txt,229357.798165,0.0824809611744,0.495201187128,0.0745096122052,0.0257819068779
1984,1949,25000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/1984.txt,367647.058824,0.0251529446785,0.480846094782,0.0754868978094,0.0279965599579
The_Celestine_Prophecy,1993,23000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Celestine_Prophecy.txt,958333.333333,0.0937295797004,0.441012097526,0.0917716860333,0.0484189782338
The_Hunger_Games,2008,23000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Hunger_Games.txt,2555555.55556,0.0518319100369,0.484932181652,0.0309143802492,0.0116689008027
The_Godfather,1969,21000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Godfather.txt,437500.0,0.0895243194184,0.492843957138,0.0633128440478,0.0460344717879
Love_Story,1970,21000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Love_Story.txt,446808.510638,0.129504267196,0.481316128662,0.0958002489426,0.0810806657488
Jaws,1974,20000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Jaws.txt,465116.27907,0.0554949968052,0.454272828062,0.0440576096415,0.0493241301721
Adventures_of_Huckleberry_Finn,1885,20000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Adventures_Of_Huckleberry_Finn.txt,151515.151515,0.0898788446167,0.473074700288,0.111262914508,0.00791663652364
The_Secret_Diary_of_Adrian_Mole_Aged_13_3_4,1982,20000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Secret_Diary_Of_Adrian_Mole_Aged_13_3_4.txt,571428.571429,0.0236838823044,0.460129980597,0.0673369916942,0.00658517686225
Pride_and_Prejudice,1813,20000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Pride_And_Prejudice.txt,98039.2156863,0.136144429385,0.519829012908,0.0664644814061,0.0111924571673
Kon-Tiki_Across_the_Pacific_in_a_Raft,1950,20000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Kon_Tiki_Across_The_Pacific_By_Raft.txt,298507.462687,0.0607430607173,0.440260449878,0.0600839727902,0.0344718822067
Dune,1965,20000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Dune.txt,384615.384615,0.0453323109214,0.469329105742,0.0778873665295,0.0418956904251
Charlie_and_the_Chocolate_Factory,1964,20000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Charlie_and_the_Chocolate_Factory.txt,377358.490566,0.107333927227,0.519656673381,0.0554925599177,0.00933261378917
The_Fault_in_Our_Stars,2012,18500000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Fault_in_Our_Stars_The_-_John_Green.txt,3700000.0,0.0842191052311,0.49940530379,0.0847218943238,0.0754096211431
The_Neverending_Story,1979,16000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Neverending_Story.txt,421052.631579,0.070822123785,0.487959451222,0.0488280803409,0.0720873573951
Shogun,1975,15000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Shogun.txt,357142.857143,0.0799231232079,0.503087437374,0.0651446013168,0.108122478006
The_Pillars_of_the_Earth,1989,15000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Pillars_Of_The_Earth.txt,535714.285714,0.0500234171143,0.479636975185,0.100984796737,0.0265849180578
Perfume,1985,15000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Perfume.txt,468750.0,0.0830535822179,0.502217294547,0.0489308997131,0.0787883218798
The_Grapes_of_Wrath,1939,15000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Grapes_of_Wrath.txt,192307.692308,0.0535653726888,0.470762059606,0.0893510567598,0.0895607389118
