book,author,original_language,first_published,approximate_sales,text_file
The_Tale_of_Peter_Rabbit,Beatrix_Potter,English,1902,45000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Tale_Of_Peter_Rabbit.txt
The_Odyssey,Homer,Ancient_Greek,1539,45000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Odyssey.txt
Jonathan_Livingston_Seagull,Richard_Bach,English,1970,44000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Jonathan_Livingston_Seagull.txt
A_Message_to_Garcia,Elbert_Hubbard,English,1899,40000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/A_Message_To_Garcia.txt
Sophies_World,Jostein_Gaarder,Norwegian,1991,40000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Sophies_World.txt
To_Kill_a_Mockingbird,Harper_Lee,English,1960,40000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/To_Kill_A_Mockingbird.txt
Angels_And_Demons,Dan_Brown,English,2000,39000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Angels_And_Demons.txt
How_the_Steel_Was_Tempered,Nikolai_Ostrovsky,Russian,1932,36400000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/How_The_Steel_Was_Tempered.txt
War_and_Peace,Leo_Tolstoy,Russian,1869,36000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/War_And_Peace.txt
The_Adventures_of_Pinocchio,Carlo_Collodi,Italian,1881,35000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Adventures_Of_Pinocchio.txt
In_His_Steps_What_Would_Jesus_Do?,Charles_M._Sheldon,English,1896,30000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/In_His_Steps_What_Would_Jesus_Do.txt
The_Lost_Symbol,Dan_Brown,English,2009,30000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Lost_Symbol.txt
Gone_with_the_Wind,Margaret_Mitchell,English,1936,30000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Gone_with_the_Wind.txt
The_Diary_of_a_Young_Girl_The_Diary_of_Anne_Frank,Anne_Frank,Dutch,1947,30000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Diary_Of_A_Young_Girl_The_Diary_Of_Anne_Frank.txt
The_Thorn_Birds,Colleen_McCullough,English,1977,30000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Thorn_Birds.txt
The_Revolt_of_Mamie_Stover,William_Bradford_Huie,English,1951,30000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Revolt_Of_Mamie_Stover.txt
The_Girl_with_the_Dragon_Tattoo,Stieg_Larsson,Swedish,2005,30000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Girl_with_the_Dragon_Tattoo.txt
The_Great_Gatsby,F._Scott_Fitzgerald,English,1925,25000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Great_Gatsby.txt
The_Wind_in_the_Willows,Kenneth_Grahame,English,1908,25000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Wind_In_The_Willows.txt
1984,George_Orwell,English,1949,25000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/1984.txt
The_Celestine_Prophecy,James_Redfield,English,1993,23000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Celestine_Prophecy.txt
The_Hunger_Games,Suzanne_Collins,English,2008,23000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Hunger_Games.txt
The_Godfather,Mario_Puzo,English,1969,21000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Godfather.txt
Love_Story,Erich_Segal,English,1970,21000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Love_Story.txt
Jaws,Peter_Benchley,English,1974,20000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Jaws.txt
Adventures_of_Huckleberry_Finn,Mark_Twain,English,1885,20000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Adventures_Of_Huckleberry_Finn.txt
The_Secret_Diary_of_Adrian_Mole_Aged_13_3_4,Sue_Townsend,English,1982,20000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Secret_Diary_Of_Adrian_Mole_Aged_13_3_4.txt
Pride_and_Prejudice,Jane_Austen,English,1813,20000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Pride_And_Prejudice.txt
Kon-Tiki_Across_the_Pacific_in_a_Raft,Thor_Heyerdahl,Norwegian,1950,20000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Kon_Tiki_Across_The_Pacific_By_Raft.txt
Dune,Frank_Herbert,English,1965,20000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Dune.txt
Charlie_and_the_Chocolate_Factory,Roald_Dahl,English,1964,20000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Charlie_and_the_Chocolate_Factory.txt
The_Fault_in_Our_Stars,John_Green,English,2012,18500000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Fault_in_Our_Stars_The_-_John_Green.txt
The_Neverending_Story,Michael_Ende,German,1979,16000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Neverending_Story.txt
Shogun,James_Clavell,English,1975,15000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Shogun.txt
The_Pillars_of_the_Earth,Ken_Follett,English,1989,15000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Pillars_Of_The_Earth.txt
Perfume,Patrick_Suskind,German,1985,15000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Perfume.txt
The_Grapes_of_Wrath,John_Steinbeck,English,1939,15000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Grapes_of_Wrath.txt
